"","Name","FeatureType","TownFlowType","SHAPESTLength"
"339","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2138.53285880892
"340","B Everett Jordan Lake","LAKE FLOWLINE","N/A",5321.37852734702
"341","Reedy Branch","STREAM","perennial",2146.04361692015
"342","B Everett Jordan Lake","LAKE FLOWLINE","N/A",4103.53489429985
"343","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1675.15588434185
"344","Beaver Creek","STREAM","perennial",1961.12403516492
"345","Beaver Creek","STREAM","intermittent",262.336399185199
"346","Beaver Creek","STREAM","perennial",943.650910240628
"347","Beaver Creek","STREAM","perennial",2040.48911193583
"348","B Everett Jordan Lake","LAKE FLOWLINE","N/A",972.839001210713
"349","B Everett Jordan Lake","LAKE FLOWLINE","N/A",197.518811114863
"350","B Everett Jordan Lake","LAKE FLOWLINE","N/A",181.199448091966
"351","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1375.29766520711
"352","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2478.9625367359
"353","B Everett Jordan Lake","LAKE FLOWLINE","N/A",719.008414955977
"354","Beaver Creek","STREAM","intermittent",1175.87470681265
"355","B Everett Jordan Lake","LAKE FLOWLINE","N/A",336.598087231784
"356","B Everett Jordan Lake","LAKE FLOWLINE","N/A",4507.60639736452
"357","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2127.55868161685
"358","White Oak Creek","STREAM","perennial",640.287469407
"359","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2232.03790102473
"360","White Oak Creek","STREAM","perennial",3074.25131322261
"361","White Oak Creek","STREAM","perennial",218.984165600038
"362","White Oak Creek","STREAM","perennial",770.640283408022
"363","White Oak Creek","STREAM","perennial",156.802527671741
"364","White Oak Creek","STREAM","perennial",3178.45265339169
"365","White Oak Creek","STREAM","perennial",436.031150929635
"366","White Oak Creek","STREAM","perennial",1283.89836330195
"367","Beaver Creek","STREAM","intermittent",567.987056788827
"368","Beaver Creek","STREAM","intermittent",1607.62384614693
"369","White Oak Creek","STREAM","perennial",579.099054911972
"370","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2417.95775811886
"371","White Oak Creek","STREAM","perennial",48.105210180638
"372","Beaver Creek","STREAM","intermittent",425.862625982183
"373","Beaver Creek","STREAM","intermittent",472.376299774157
"374","White Oak Creek","STREAM","perennial",2376.6882831015
"375","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1945.32770344278
"376","B Everett Jordan Lake","LAKE FLOWLINE","N/A",808.231927044905
"377","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1664.38998179255
"378","White Oak Creek","STREAM","perennial",123.054614510467
"379","White Oak Creek","STREAM","perennial",1247.05356980838
"380","B Everett Jordan Lake","LAKE FLOWLINE","N/A",3598.40422370373
"381","White Oak Creek","STREAM","perennial",238.879290401887
"382","White Oak Creek","STREAM","intermittent",602.615525548081
"383","White Oak Creek","STREAM","intermittent",125.801444385346
"384","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2478.77748094748
"385","Rocky Ford Branch","STREAM","perennial",1986.23522809865
"386","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2863.74903608725
"387","B Everett Jordan Lake","LAKE FLOWLINE","N/A",283.423136687773
"388","White Oak Creek","STREAM","intermittent",100.083932414364
"389","Parkers Creek","STREAM","perennial",10950.9890274839
"390","White Oak Creek","STREAM","perennial",2318.97104207715
"391","B Everett Jordan Lake","LAKE FLOWLINE","N/A",850.9197124995
"392","Mill Branch","STREAM","perennial",251.764643175929
"393","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2846.05153158831
"394","B Everett Jordan Lake","LAKE FLOWLINE","N/A",3151.05099848584
"395","Parkers Creek","STREAM","intermittent",6015.57904628247
"396","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1195.57391992775
"397","White Oak Creek","STREAM","perennial",2321.61805944175
"398","White Oak Creek","STREAM","intermittent",2092.55476823674
"399","Jack Branch","STREAM","intermittent",641.861910713643
"400","B Everett Jordan Lake","LAKE FLOWLINE","N/A",390.739743960726
"401","B Everett Jordan Lake","LAKE FLOWLINE","N/A",689.746684633642
"402","B Everett Jordan Lake","LAKE FLOWLINE","N/A",292.153477091302
"403","Clark Branch","STREAM","intermittent",3231.36731695802
"404","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1574.77375334102
"405","B Everett Jordan Lake","LAKE FLOWLINE","N/A",4971.53639552209
"406","Jack Branch","STREAM","intermittent",388.803140198308
"407","Clark Branch","STREAM","intermittent",191.511519014411
"408","Clark Branch","STREAM","intermittent",1484.17271528361
"409","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1344.58562815327
"410","White Oak Creek","STREAM","intermittent",907.034627958314
"411","Mill Branch","STREAM","perennial",113.028990275279
"412","Clark Branch","STREAM","perennial",454.003383690692
"413","White Oak Creek","STREAM","intermittent",478.681373929732
"414","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2287.25021329706
"415","B Everett Jordan Lake","LAKE FLOWLINE","N/A",7154.38733213608
"416","Clark Branch","STREAM","perennial",738.087560833384
"417","Clark Branch","STREAM","perennial",276.822467598799
"418","Rocky Ford Branch","STREAM","perennial",4125.38990597904
